No,Question,BT Level,DoK
73,"Why are electric vehicles not in widespread use? Also, compare fossil fuel powered vehicles to electric powered vehicles.",4,3
74,"If you were to build a power plant, which type (fuel) would you build? Why? (Include at least 6 benefits and disadvantages to your power plant type)",6,4
75,"In 100 years, where do you think our primary energy will come from? Why?",3,3
76,The government mandates that you get 15% of your home’s energy from renewables.  construct a plan about how you will do that,3,3
77,"Describe your ideal power grid. Include where the energy sources come from, primary usages, impact, and cost. Comment on what it would take for your dream to be realized.",6,3
78,There is only a finite amount of oil in the world. What are some alternatives transportation fuels that may be used when oil runs out?,3,3
79,Compare and contrast different source of non-continuous renewable energy.,2,2
80,"In the future, according to the paper, 80% of carbon emissions will come from the developing world. Discuss all the factors developing countries need to take into account when confronted with such problem.",6,4
81,Renewable energy accounts for a mere 6% of total energy use in the United States. That fraction is not expected to grow in the next 30 years despite fears of exhausting fossil fuel reserves and political pressures for “green” energy. Please discuss why this is the case.,6,4
82," Explain the major benefit of reforming natural gas for hydrogen fuel, rather than burning the gas directly?",2,2
83,Explain the significance of energy consumption as prosperity? ,2,3
84,Explain the principle of conversion of solar energy into heat energy.,2,1
85,What do you understand by energy conservation? Explain in brief the salient features of Energy Conservation Act,2,1
86,Classify the sources of radioactive pollution with a neat flow chart. Explain the effects of non-ionising radiations.,4,1
87,Explain the Environment Protection Act in your own words.,2,2
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
